都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,名称_英語,住所,方書,設置位置,緯度,経度,男性トイレ総数,男性トイレ数（小便器）,男性トイレ数（和式）,男性トイレ数（洋式）,女性トイレ総数,女性トイレ数（和式）,女性トイレ数（洋式）,男女共用トイレ総数,男女共用トイレ数（和式）,男女共用トイレ数（洋式）,多機能トイレ数,車椅子使用者用トイレ有無,乳幼児用設備設置トイレ有無,オストメイト設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,画像,画像_ライセンス,備考
232114,26,愛知県,豊田市,さんぼんまつ公園,ｻﾝﾎﾞﾝﾏﾂｺｳｴﾝ,Sanbobmatsu park,豊田市五ケ丘1丁目11番地,,,35.06497,137.18881,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,27,愛知県,豊田市,けやきだい公園,ｹﾔｷﾀﾞｲｺｳｴﾝ,Keyakidai park,豊田市五ケ丘1丁目31番地,,,35.05969,137.18903,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,28,愛知県,豊田市,ふたつやま公園,ﾌﾀﾂﾔﾏｺｳｴﾝ,Futatsuyama park,豊田市五ケ丘3丁目8番地,,,35.06449,137.19378,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,29,愛知県,豊田市,あめいけ公園,ｱﾒｲｹｺｳｴﾝ,Ameike park,豊田市五ケ丘7丁目13番地,,,35.06349,137.19946,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,30,愛知県,豊田市,しいのき公園,ｼｲﾉｷｺｳｴﾝ,Shinoki park,豊田市五ケ丘8丁目20番地,,,35.06277,137.20354,2,2,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,31,愛知県,豊田市,東山団地公園,ﾋｶﾞｼﾔﾏﾀﾞﾝﾁｺｳｴﾝ,Higashiyamadanchi park,豊田市東山町4丁目1117番地44,,,35.05382,137.19421,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,32,愛知県,豊田市,古瀬間団地公園,ｺｾﾏﾀﾞﾝﾁｺｳｴﾝ,Kosemadanchi park,豊田市古瀬間町鳥ヶ峯371番地33,,,35.07796,137.2031,2,2,0,0,0,0,0,2,2,0,0,無,無,無,,,,,,
232114,33,愛知県,豊田市,志賀ニュータウン２号公園,ｼｶﾞﾆｭｰﾀｳﾝ2ｺﾞｳｺｳｴﾝ,Shiganewtown2go park,豊田市志賀町香九礼1番地285,,,35.07596,137.1934,1,0,1,0,1,1,0,0,0,0,0,無,無,無,,,,,,
232114,34,愛知県,豊田市,泉公園,ｲｽﾞﾐｺｳｴﾝ,Izumi park,豊田市泉町2丁目3番地8,,,35.07203,137.19023,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,35,愛知県,豊田市,泉瀬戸公園,ｲｽﾞﾐｾﾄｺｳｴﾝ,Izumiseto park,豊田市泉町3丁目6番地3,,,35.07063,137.19137,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,36,愛知県,豊田市,野見山北公園,ﾉﾐﾔﾏｷﾀｺｳｴﾝ,Nomiyamakita park,豊田市野見山町3丁目27番地28,,,35.07077,137.18612,0,0,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,37,愛知県,豊田市,野見山南公園,ﾉﾐﾔﾏﾐﾅﾐｺｳｴﾝ,Nomiyamaminami park,豊田市野見山町3丁目27番地130,,,35.06874,137.18516,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,38,愛知県,豊田市,保見団地１号公園,ﾎﾐﾀﾞﾝﾁ1ｺﾞｳｺｳｴﾝ,Homidanchi1go park,豊田市保見ケ丘3丁目193番地,,,35.15087,137.13743,1,1,0,0,0,0,0,1,0,1,0,無,無,無,,,,,,
232114,39,愛知県,豊田市,保見団地２号公園,ﾎﾐﾀﾞﾝﾁ2ｺﾞｳｺｳｴﾝ,Homidanchi2go park,豊田市保見ケ丘2丁目51番地,,,35.1511,137.13395,2,1,1,0,2,2,0,0,0,0,1,有,無,無,,,,,,
232114,40,愛知県,豊田市,保見団地３号公園,ﾎﾐﾀﾞﾝﾁ3ｺﾞｳｺｳｴﾝ,Homidanchi3go park,豊田市保見ケ丘1丁目86番地,,,35.14421,137.13406,1,1,0,0,0,0,0,1,1,0,0,無,無,無,,,,,,
232114,41,愛知県,豊田市,こまどり公園,ｺﾏﾄﾞﾘｺｳｴﾝ,Komadori park,豊田市陣中町1丁目22番地7,,,35.09363,137.16013,2,1,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,42,愛知県,豊田市,妙玄公園,ﾐｮｳｹﾞﾝｺｳｴﾝ,Myogen park,豊田市平芝町3丁目1番地,,,35.09661,137.15466,3,2,1,0,1,1,0,0,0,0,1,有,無,無,,,,,,
232114,43,愛知県,豊田市,月見公園,ﾂｷﾐｺｳｴﾝ,Tsukimi park,豊田市月見町1丁目3番地,,,35.09129,137.15316,1,1,0,0,1,1,0,0,0,0,0,無,無,無,,,,,,
232114,44,愛知県,豊田市,仲田公園,ﾅｶﾀﾞｺｳｴﾝ,Nakada park,豊田市小坂本町4丁目3番地,,,35.08464,137.15264,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,45,愛知県,豊田市,高美中央公園,ﾀｶﾐﾁﾕｳｵｳｺｳｴﾝ,Takamichuo park,豊田市高美町3丁目35番地,,,35.03634,137.10228,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,46,愛知県,豊田市,亀首公園,ｶﾒｸﾋﾞｺｳｴﾝ,Kamekubi park,豊田市亀首町八ツ口洞648番地,,,35.14476,137.17684,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,47,愛知県,豊田市,桑原公園,ｸﾜﾊﾞﾗｺｳｴﾝ,Kuwabara park,"豊田市市木町5丁目11番地1",,,35.09657,137.20073,2,2,0,0,0,0,0,0,0,0,1,有,無,無,,,,,,
232114,48,愛知県,豊田市,入山公園,ｲﾘﾔﾏｺｳｴﾝ,Iriyama park,"豊田市市木町3丁目17番地",,,35.09664,137.19743,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,49,愛知県,豊田市,かけした公園,ｶｹｼﾀｺｳｴﾝ,Kakeshita park,"豊田市市木町2丁目2番地3",,,35.09696,137.19284,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
232114,50,愛知県,豊田市,谷下公園,ﾔｹﾞｺｳｴﾝ,Yage park,豊田市市木町1丁目24番地1,,,35.09415,137.19267,2,2,0,0,0,0,0,1,1,0,1,有,無,無,,,,,,
